.id,mtry,num.trees,train_err,test_err
4,4,377.77777777777777,215.27672980585763,521.8926266167641
4,4,466.66666666666663,226.5260560092566,526.6383955312002
4,7,911.1111111111111,212.28340000306034,528.4137542988365
4,10,288.8888888888889,210.06835684928348,528.8790297240031
4,7,200,214.0035858656423,532.8271602894248
4,4,288.8888888888889,231.53107189653863,533.6359829696927
4,4,822.2222222222222,228.67811179462123,533.9173445481911
4,7,466.66666666666663,208.667888559865,534.2758453316819
4,4,200,221.7652707374426,534.5544883283693
4,7,822.2222222222222,222.39308302271218,534.7624076947926
4,7,1000,208.57893292276685,535.3658904815256
4,4,555.5555555555555,221.69196771609703,535.6204611245397
4,4,1000,228.50733036664698,536.6721940076604
4,13,288.8888888888889,212.35957818029664,539.3672328043815
4,7,644.4444444444445,200.96343202134267,539.4160339929256
4,10,733.3333333333333,198.7007785616444,540.5453608793903
4,7,733.3333333333333,205.19550224427,540.6318608227747
4,10,1000,205.6535231257642,540.7910323957385
4,10,644.4444444444445,219.90496234450706,542.2978099846309
4,10,822.2222222222222,207.89462125925004,542.7001712291274
4,4,644.4444444444445,223.41090973865954,543.3725082000448
4,7,555.5555555555555,219.47064229443447,543.3803730146445
4,4,733.3333333333333,229.82673456848036,543.555603909732
4,16,733.3333333333333,191.71328267354355,543.8194626438269
4,7,288.8888888888889,198.67327129321984,546.5302522529003
4,10,377.77777777777777,199.37048218444022,546.6269415347411
4,16,288.8888888888889,210.94582441522755,547.085398533341
4,10,911.1111111111111,200.4211428737212,547.7114475656352
4,4,911.1111111111111,229.03422987527324,548.9042226470583
4,16,822.2222222222222,202.1450661646646,549.5830559797904
4,13,644.4444444444445,197.96331418785445,549.9289712994099
4,13,1000,204.0374323421934,550.465124939323
4,19,733.3333333333333,202.43874188484466,550.8422574509476
4,10,466.66666666666663,218.8075625927017,551.323918246324
4,13,466.66666666666663,199.01052691985345,552.2981274241711
4,7,377.77777777777777,207.83301532228546,552.5194709206701
4,19,466.66666666666663,205.49668657241915,553.122166365656
4,13,822.2222222222222,205.28666172659595,554.1241361194227
4,19,911.1111111111111,198.1230184824228,555.0201847196822
4,16,644.4444444444445,202.72410652730673,555.1924986172181
4,13,733.3333333333333,196.20653247683447,555.917720048672
4,10,200,193.24407702323214,558.1732304453966
4,10,555.5555555555555,202.3456133467356,558.2145916971181
4,19,822.2222222222222,200.2015115786246,558.2836997217149
4,16,911.1111111111111,206.17633087002451,559.1937354657398
4,22,288.8888888888889,201.20826035790955,561.199354392017
4,19,377.77777777777777,197.34194162379907,561.5528957746673
4,16,466.66666666666663,206.04728099445845,562.4381615882281
4,13,911.1111111111111,208.7429994460562,562.4951297728207
4,16,1000,194.58637368155541,563.7754725698602
4,13,377.77777777777777,193.92394668596182,564.0120246877838
4,16,377.77777777777777,198.4688240115743,564.5561966096508
4,19,644.4444444444445,194.03996075847522,564.9228495230342
4,28,288.8888888888889,199.63397138136645,565.3786402569671
4,22,466.66666666666663,192.2193610626284,565.9864507036025
4,16,555.5555555555555,206.3207733250648,566.9429949590856
4,22,733.3333333333333,200.9545410945992,569.3983263215652
4,13,200,208.23292955920604,570.3335511952658
4,25,1000,196.98187571632408,570.6744741019182
4,19,555.5555555555555,207.76902693863556,570.8860431887067
4,22,1000,197.66464638113234,572.0350746033464
4,19,1000,201.43814404875832,573.0483315426288
4,25,733.3333333333333,201.89539156309417,573.473557373732
4,25,288.8888888888889,210.03268257104975,573.489989198793
4,28,200,235.37937580367208,573.5657431225547
4,25,822.2222222222222,205.00700726072674,574.4815675942897
4,13,555.5555555555555,199.57647428451185,574.7478227197396
4,22,555.5555555555555,195.14497438387016,575.0152153684963
4,28,555.5555555555555,217.79352365671758,575.5103537843031
4,16,200,208.52938688094667,576.147521933981
4,22,377.77777777777777,207.38411396379163,577.622904654732
4,19,288.8888888888889,204.52494205731446,580.0261941622351
4,25,555.5555555555555,207.7141016232947,580.19746869009
4,28,911.1111111111111,208.59638435384974,582.0809823163283
4,28,822.2222222222222,196.72835155375554,583.9124722905193
4,28,1000,202.55367283868713,583.9808836884587
4,28,733.3333333333333,209.9868829736389,584.6384236713768
4,19,200,178.44617425287888,586.8174213688307
4,25,911.1111111111111,209.37318891342582,588.2285484942713
4,22,822.2222222222222,209.93147657168507,588.3353688561351
4,22,200,209.22922598765663,588.6760245510563
4,25,200,212.58642332131637,589.0986135636763
4,28,644.4444444444445,201.9196644988461,589.3476919869523
4,28,377.77777777777777,199.83016409675506,593.8321446214786
4,22,911.1111111111111,199.07310454979807,595.352777529655
1,7,288.8888888888889,214.3755219346079,597.8838594886586
4,25,466.66666666666663,213.7600150850611,598.1629770826695
4,22,644.4444444444445,192.47720062298916,599.0021542738008
4,25,644.4444444444445,202.9919690788292,600.1675108339556
4,28,466.66666666666663,197.4696682209692,600.5083871147377
4,25,377.77777777777777,198.91451231025655,601.026923742309
4,1,466.66666666666663,329.50879100603163,607.6482884598157
1,13,466.66666666666663,216.51161016607534,616.5087031941603
1,7,911.1111111111111,212.66976002608357,618.4128827179695
1,13,288.8888888888889,228.15871976481355,621.1257896157471
4,1,377.77777777777777,327.33409530185435,621.1665152971298
1,10,911.1111111111111,212.69717236612462,625.8028583818038
1,10,822.2222222222222,204.75705838447428,626.8610926914388
1,7,1000,213.55838056005155,627.0549304500859
1,16,822.2222222222222,202.4440440713029,628.0392459831105
1,13,822.2222222222222,197.97164031057784,628.8070765368166
1,13,1000,203.8512675047182,630.0833422785823
1,10,733.3333333333333,210.27222066237348,630.1220702757569
1,10,377.77777777777777,206.12196627476902,630.5859377150914
4,1,555.5555555555555,325.0193136373141,630.6712786566586
1,10,200,211.67713009781914,631.1849195745801
4,1,733.3333333333333,331.4436349399574,631.5894544690092
1,7,200,224.97169165482944,632.4354796123885
3,10,200,213.53220089708094,633.4439898530949
1,13,377.77777777777777,207.47098727324573,633.6620670499766
1,10,466.66666666666663,199.90667301430315,634.5885688460777
1,10,555.5555555555555,211.60971460597116,634.6500287843742
1,16,1000,203.56321549012617,634.9473278817551
1,4,555.5555555555555,226.14274017065094,635.3146938953985
1,7,377.77777777777777,215.52359260599127,635.3589513506857
1,16,200,204.91903503301754,636.5369240637957
1,13,644.4444444444445,219.84654342918714,637.0518561777292
1,22,644.4444444444445,199.21566935199752,637.281582420908
1,19,555.5555555555555,215.6056037904067,637.770738206169
1,22,466.66666666666663,206.284870287579,638.5366479878733
1,10,644.4444444444445,208.33102596136465,638.7689344301205
1,13,733.3333333333333,207.31421065631847,638.8702979153629
4,1,1000,326.48727587504743,638.9885265559052
1,13,555.5555555555555,207.47327737266383,639.2646725811137
4,1,288.8888888888889,322.8898742139717,640.5467900092699
1,7,733.3333333333333,208.20205363013278,640.6277504914564
1,16,377.77777777777777,205.73661730226002,640.9418592961741
1,7,822.2222222222222,223.05268410791416,641.2738931742101
3,7,200,225.73687286835124,642.292899880853
1,4,1000,229.30319192446305,642.6143604174243
1,10,288.8888888888889,212.5633936574535,642.7266901300454
1,19,1000,199.5125090503181,643.2323360112405
1,16,644.4444444444445,205.2760104328568,643.4028057504171
1,22,1000,211.84090713785199,643.7401557884922
1,7,644.4444444444445,205.56959227799743,643.7973733314996
1,13,911.1111111111111,203.31667074152568,644.2987167491013
1,4,644.4444444444445,228.64111980520832,645.7290699529717
1,4,733.3333333333333,232.6524880653537,646.5521848353018
1,7,555.5555555555555,202.12881687449155,647.5008568229015
1,22,822.2222222222222,199.9990067512341,648.0881099920418
1,19,911.1111111111111,205.59196913324416,648.4252626938459
4,1,822.2222222222222,313.7883384000694,649.0624078623515
3,22,200,211.34486533508675,649.4068544389258
4,1,911.1111111111111,323.7477874643178,649.9173357066323
3,22,911.1111111111111,204.87702414538072,650.2585734098354
1,22,733.3333333333333,205.37035775094884,650.9434208009839
4,1,200,339.1654134659559,651.4018668564097
1,13,200,212.17179298093174,651.7581406236202
1,10,1000,207.85962467030518,651.8931705030849
1,4,200,231.54315655298075,652.0098678867452
1,7,466.66666666666663,190.1513786124407,652.3539549174166
4,1,644.4444444444445,321.46749057256307,653.7955715650089
1,19,466.66666666666663,202.96065578350135,654.3681320324179
1,4,911.1111111111111,234.61927460344467,654.7855608230391
3,7,288.8888888888889,208.3950170850871,655.7411312298432
1,28,288.8888888888889,227.57252223275313,655.8052934553856
1,16,466.66666666666663,194.17164938453521,655.8884330417662
3,28,733.3333333333333,213.3179038867179,655.9411473981128
1,22,288.8888888888889,191.54106240518465,655.9453974701443
1,19,288.8888888888889,203.03550618319557,656.7808157393175
1,22,377.77777777777777,201.01163018633616,656.8157871862074
1,16,911.1111111111111,193.0314606953753,657.1128091559664
1,25,377.77777777777777,214.15604396076836,658.5575091139156
1,16,733.3333333333333,198.62397227568982,659.0601168100219
3,28,911.1111111111111,211.28247980524455,659.838713719453
3,28,1000,211.4602465333358,661.3556646046144
1,16,288.8888888888889,209.62065574215538,662.9135284901032
1,25,200,215.11646624489555,663.1026080910233
1,19,822.2222222222222,202.03923295089405,663.1479029979472
1,19,644.4444444444445,203.63876048196357,664.1775308110397
1,4,377.77777777777777,235.81275755630872,664.2362753926951
1,25,288.8888888888889,199.6400066861603,664.596742888592
1,25,555.5555555555555,218.3089067261103,664.8572312556438
1,22,911.1111111111111,204.35221576222173,664.9077838984166
1,25,644.4444444444445,212.2657661975772,665.2420918592803
3,28,466.66666666666663,216.50854931740204,665.6028534141202
1,19,733.3333333333333,202.10283983962174,665.856467091573
1,16,555.5555555555555,201.44547738871378,666.3927392782234
3,19,377.77777777777777,214.0739082213793,666.5989741864774
1,4,466.66666666666663,228.53218400709693,667.4688821237615
3,19,1000,203.89546104368753,667.6750352766979
3,25,733.3333333333333,206.11724237981863,667.9086327117781
3,28,822.2222222222222,207.69668477286737,668.3390941062901
1,22,555.5555555555555,194.22544213137382,668.3394107051209
3,22,288.8888888888889,215.77302711304378,668.7427490225118
3,28,644.4444444444445,205.65395248938214,669.3012980740991
3,22,377.77777777777777,198.5491586122102,669.4517791530211
3,19,466.66666666666663,204.72270961721074,670.2331108635564
1,25,911.1111111111111,209.66347936826568,670.4309880557023
3,16,555.5555555555555,197.4395550816673,670.4774213174288
3,19,822.2222222222222,199.9146225498169,670.5453326988954
1,4,822.2222222222222,230.9074911827088,670.579285087981
3,25,288.8888888888889,215.6365452133322,670.7757848433293
3,13,644.4444444444445,210.0205006259062,671.1800161902793
1,22,200,203.6916060126274,671.3898298061334
1,25,466.66666666666663,193.36784357641025,671.4771273814503
3,19,555.5555555555555,219.92856632445765,671.7194156617994
3,4,200,244.35789638875414,672.0380040884695
3,22,1000,214.542640934848,672.197295576248
3,25,822.2222222222222,215.43791889856232,672.2170039464734
1,25,733.3333333333333,204.90758369928687,672.716179279087
1,28,644.4444444444445,195.35175888271482,673.3327455240619
3,25,555.5555555555555,204.09703561917357,673.3727397600769
1,28,555.5555555555555,201.7536369325385,673.7353907392132
1,28,733.3333333333333,216.04568437172475,674.0028976563495
1,4,288.8888888888889,239.81556360705022,674.1861549209682
3,13,466.66666666666663,214.14959569805418,675.2620155987352
3,28,377.77777777777777,209.06655288753066,675.7914550452062
3,28,555.5555555555555,205.98299471366064,675.8441717004955
3,22,733.3333333333333,210.28861189013787,676.2577971717429
3,25,644.4444444444445,228.72086647630707,676.3426338346231
3,19,733.3333333333333,202.31211968266336,676.6218134147176
3,22,644.4444444444445,211.6513845430184,677.0360094170414
1,28,911.1111111111111,204.0457640722822,677.6232956950312
1,19,200,190.06879421238625,679.7798079275351
3,25,911.1111111111111,210.78878530996784,680.1384987863585
1,25,1000,206.11754134144226,680.8479578533814
3,25,1000,219.22769566166858,680.8719400752187
3,25,200,201.21420515608224,681.9428862175243
3,22,466.66666666666663,215.74869946354917,682.1706135889085
3,16,644.4444444444445,205.47186186623287,682.2359676536615
3,13,555.5555555555555,206.35701871854715,683.7923566620061
1,28,822.2222222222222,194.42425596685763,684.3538050052352
3,13,911.1111111111111,208.89748290184332,684.7457754558804
3,7,822.2222222222222,223.20767161325065,684.8745062514738
3,19,644.4444444444445,208.99168662236073,686.1537603845843
1,19,377.77777777777777,205.4862343017984,686.2881467039933
1,28,1000,204.9340935107683,686.4869199358045
3,19,911.1111111111111,205.93792488449364,686.9534473739008
1,25,822.2222222222222,208.76616926423537,687.2485827967017
1,28,200,198.0232515198422,687.6692968768828
3,7,733.3333333333333,226.63602695257518,687.8948944829646
3,4,555.5555555555555,235.9536644518259,688.2458967090894
3,10,555.5555555555555,219.78271817848935,688.4332069409925
1,28,377.77777777777777,216.97175839847426,689.1375976434048
3,13,1000,213.17563282827572,689.5794020585256
3,28,288.8888888888889,221.91234453580142,690.2962582990912
3,19,200,193.16813911832367,690.538122904633
3,7,466.66666666666663,203.84367546411153,691.8514146239728
3,22,822.2222222222222,209.3332688761074,691.931115923484
3,10,1000,216.27219384740948,692.2061297557805
3,25,377.77777777777777,217.9321560067037,692.5273855411936
3,16,1000,203.7476835093441,692.9939870170166
3,10,733.3333333333333,209.90722957080604,693.1510230051551
3,7,377.77777777777777,215.33930792087904,693.8148057396038
3,28,200,200.2294725528249,694.2219433898955
3,10,822.2222222222222,203.59082531978018,694.5230047617858
3,16,466.66666666666663,214.59688909239748,694.5681071586864
3,16,377.77777777777777,215.3371408597076,695.3412140523407
3,10,288.8888888888889,209.75353759004628,695.9066018611168
3,7,1000,219.77689204461913,696.1878248277374
3,4,733.3333333333333,233.63932789887417,696.4668233116604
3,10,911.1111111111111,203.67898797971614,697.3825869083973
3,13,822.2222222222222,206.69640633494697,697.8513782147103
3,7,644.4444444444445,214.8189659903946,698.3364661366902
3,13,200,207.31601086753562,698.7112902222871
3,4,822.2222222222222,229.76706193579088,700.3789753866984
3,16,822.2222222222222,201.3420848186634,700.5964365535881
1,28,466.66666666666663,211.8530447154478,701.9446178353537
3,16,911.1111111111111,209.37706313879758,702.46399329027
3,10,644.4444444444445,202.2429235782278,703.5067729743897
3,4,466.66666666666663,238.39936245690853,704.194490211927
3,7,911.1111111111111,218.60411231508476,704.7487185535547
3,10,377.77777777777777,218.18755532215587,705.6537626025361
3,4,1000,231.81219299060112,706.2269471755368
3,7,555.5555555555555,222.21846453126952,706.94057760009
3,22,555.5555555555555,210.01088361593625,708.9046928259406
3,13,733.3333333333333,210.20700000878918,709.2532973297787
3,19,288.8888888888889,212.96481832469163,709.9634563092417
3,16,200,201.62304974764234,713.4910706868009
3,16,733.3333333333333,217.14826572155386,716.8148187680843
3,25,466.66666666666663,213.55539139503335,716.9291878859644
3,4,911.1111111111111,232.04942128078108,717.2052446691482
3,4,644.4444444444445,233.70333119817636,717.3209406719187
3,13,377.77777777777777,212.34553230629714,718.8275511806238
3,13,288.8888888888889,209.58350010952083,721.1353374608226
