state,date,total_deaths,change,pred_change,pred_total
Alabama,2020-05-19,504,15,14.778956925148826,503.7789569251488
Alabama,2020-05-20,522,18,14.991106928666246,518.770063853815
Alabama,2020-05-21,529,7,13.346665883970054,532.1167297377851
Alabama,2020-05-22,541,12,10.695721928292132,542.8124516660773
Alabama,2020-05-23,549,8,8.763371117995241,551.5758227840726
Alabama,2020-05-24,551,2,1.4886870425822454,553.0645098266548
Alabama,2020-05-25,566,15,6.09523951163871,559.1597493382935
Alabama,2020-05-26,580,14,18.998573890106012,578.1583232283996
Alabama,2020-05-27,583,3,20.383820061673127,598.5421432900727
Alabama,2020-05-28,591,8,17.07270238369711,615.6148456737698
Alabama,2020-05-29,610,19,13.30794620338289,628.9227918771527
Alabama,2020-05-30,618,8,12.126235044148935,641.0490269213017
Alabama,2020-05-31,630,12,4.364755296644363,645.413782217946
Alabama,2020-06-01,646,16,9.200976746080343,654.6147589640264
Alaska,2020-05-19,10,0,9.717184950898147,19.717184950898147
Alaska,2020-05-20,10,0,8.718267640817333,28.43545259171548
Alaska,2020-05-21,10,0,6.745439280588388,35.18089187230387
Alaska,2020-05-22,10,0,5.26197170437102,40.44286357667489
Alaska,2020-05-23,10,0,3.975916557680704,44.41878013435559
Alaska,2020-05-24,10,0,-1.5793637317992277,42.83941640255637
Alaska,2020-05-25,10,0,4.7184393952414,47.557855797797764
Alaska,2020-05-26,10,0,13.712347282090896,61.27020307988866
Alaska,2020-05-27,10,0,13.779539797399156,75.04974287728781
Alaska,2020-05-28,10,0,12.408756257566466,87.45849913485428
Alaska,2020-05-29,10,0,10.249418710523742,97.70791784537802
Alaska,2020-05-30,10,0,8.183120649378845,105.89103849475687
Alaska,2020-05-31,10,0,4.041548139732235,109.9325866344891
Alaska,2020-06-01,10,0,9.278925733912619,119.21151236840171
Arizona,2020-05-19,705,18,21.506258197029005,708.506258197029
Arizona,2020-05-20,747,42,22.087359685068055,730.593617882097
Arizona,2020-05-21,764,17,23.442053336057846,754.0356712181548
Arizona,2020-05-22,775,11,23.70996865751948,777.7456398756742
Arizona,2020-05-23,801,26,19.311552618306308,797.0571924939806
Arizona,2020-05-24,801,0,14.14481915281588,811.2020116467964
Arizona,2020-05-25,807,6,10.819225946592205,822.0212375933886
Arizona,2020-05-26,810,3,20.598330969695166,842.6195685630838
Arizona,2020-05-27,834,24,24.817078893784785,867.4366474568686
Arizona,2020-05-28,860,26,27.385387015990435,894.8220344728591
Arizona,2020-05-29,886,26,22.17936111676164,917.0013955896206
Arizona,2020-05-30,904,18,20.280237461529676,937.2816330511503
Arizona,2020-05-31,907,3,13.703750818665654,950.9853838698159
Arizona,2020-06-01,918,11,13.801666510287083,964.787050380103
Arkansas,2020-05-19,102,2,8.343760422276747,108.34376042227674
Arkansas,2020-05-20,107,5,7.651059888870852,115.99482031114759
Arkansas,2020-05-21,110,3,6.650511468022046,122.64533177916964
Arkansas,2020-05-22,113,3,5.899181187083588,128.54451296625322
Arkansas,2020-05-23,115,2,4.770519057858683,133.3150320241119
Arkansas,2020-05-24,116,1,-0.6011986156111269,132.71383340850076
Arkansas,2020-05-25,117,1,5.261920993314435,137.9757544018152
Arkansas,2020-05-26,119,2,14.518994134613546,152.49474853642874
Arkansas,2020-05-27,120,1,14.703796658143492,167.19854519457223
Arkansas,2020-05-28,125,5,12.707905406514996,179.90645060108722
Arkansas,2020-05-29,132,7,10.83392218390359,190.7403727849908
Arkansas,2020-05-30,133,1,8.62819521005778,199.36856799504858
Arkansas,2020-05-31,133,0,3.1705579030101996,202.53912589805878
Arkansas,2020-06-01,133,0,8.153599416854,210.6927253149128
California,2020-05-19,3403,124,68.05373986994316,3347.053739869943
California,2020-05-20,3497,94,81.469334922589,3428.523074792532
California,2020-05-21,3583,86,78.66591453347729,3507.1889893260095
California,2020-05-22,3665,82,76.6119517481732,3583.800941074183
California,2020-05-23,3737,72,80.22277591026075,3664.0237169844436
California,2020-05-24,3753,16,66.32863206737207,3730.3523490518155
California,2020-05-25,3768,15,53.97532584441602,3784.3276748962317
California,2020-05-26,3818,50,72.48174135775186,3856.8094162539837
California,2020-05-27,3894,76,85.61565908839762,3942.425075342381
California,2020-05-28,3993,99,81.34890622390253,4023.7739815662835
California,2020-05-29,4077,84,80.49475197695064,4104.268733543234
California,2020-05-30,4144,67,77.08017215901454,4181.348905702248
California,2020-05-31,4172,28,59.11092269342743,4240.459828395676
California,2020-06-01,4217,45,54.360605163267756,4294.8204335589435
Colorado,2020-05-19,1257,33,39.30046018710284,1263.3004601871028
Colorado,2020-05-20,1299,42,41.512823422349236,1304.813283609452
Colorado,2020-05-21,1310,11,42.41136405886728,1347.2246476683192
Colorado,2020-05-22,1324,14,34.55452630760645,1381.7791739759257
Colorado,2020-05-23,1327,3,29.787450159379933,1411.5666241353056
Colorado,2020-05-24,1332,5,17.441652953427766,1429.0082770887334
Colorado,2020-05-25,1333,1,16.809273244851177,1445.8175503335847
Colorado,2020-05-26,1352,19,26.84474396752722,1472.6622943011118
Colorado,2020-05-27,1392,40,37.19677998389527,1509.8590742850072
Colorado,2020-05-28,1421,29,37.66770057415383,1547.526774859161
Colorado,2020-05-29,1436,15,31.63834693887319,1579.165121798034
Colorado,2020-05-30,1443,7,29.60987947490931,1608.7750012729434
Colorado,2020-05-31,1445,2,24.770767882461126,1633.5457691554045
Colorado,2020-06-01,1458,13,23.66116710871845,1657.206936264123
Connecticut,2020-05-19,3472,22,58.66266520262733,3508.6626652026275
Connecticut,2020-05-20,3529,57,53.01465078752906,3561.677315990157
Connecticut,2020-05-21,3583,54,57.05574240490626,3618.733058395063
Connecticut,2020-05-22,3637,54,57.03606519864868,3675.769123593712
Connecticut,2020-05-23,3675,38,46.66120152095686,3722.4303251146684
Connecticut,2020-05-24,3693,18,39.88526670865776,3762.315591823326
Connecticut,2020-05-25,3742,49,43.59677762010144,3805.9123694434275
Connecticut,2020-05-26,3769,27,48.319711949078645,3854.232081392506
Connecticut,2020-05-27,3803,34,45.5402352993127,3899.772316691819
Connecticut,2020-05-28,3826,23,55.25098393185353,3955.0233006236726
Connecticut,2020-05-29,3868,42,49.652651487074415,4004.675952110747
Connecticut,2020-05-30,3912,44,45.74422776703694,4050.420179877784
Connecticut,2020-05-31,3944,32,42.105782307854085,4092.525962185638
Connecticut,2020-06-01,3970,26,41.96848437446326,4134.494446560101
Delaware,2020-05-19,304,7,14.902336677663936,311.9023366776639
Delaware,2020-05-20,310,6,15.002670761778178,326.9050074394421
Delaware,2020-05-21,317,7,10.92276552044538,337.82777295988745
Delaware,2020-05-22,322,5,9.393233061050672,347.22100602093815
Delaware,2020-05-23,322,0,8.187077450561295,355.4080834714994
Delaware,2020-05-24,326,4,0.36030106246811844,355.76838453396755
Delaware,2020-05-25,332,6,6.072172893656548,361.8405574276241
Delaware,2020-05-26,335,3,15.727327914142656,377.5678853417668
Delaware,2020-05-27,344,9,14.48078937124524,392.048674713012
Delaware,2020-05-28,345,1,14.07653429736071,406.1252090103727
Delaware,2020-05-29,356,11,10.400738840418525,416.5259478507912
Delaware,2020-05-30,361,5,9.583664741422757,426.109612592214
Delaware,2020-05-31,366,5,3.7674380718656906,429.87705066407966
Delaware,2020-06-01,368,2,8.421841067554642,438.2988917316343
District of Columbia,2020-05-19,400,8,13.986862119798523,405.9868621197985
District of Columbia,2020-05-20,407,7,13.24786255540898,419.2347246752075
District of Columbia,2020-05-21,412,5,10.99162903640204,430.22635371160953
District of Columbia,2020-05-22,418,6,8.621925644550348,438.8482793561599
District of Columbia,2020-05-23,427,9,7.05633745042529,445.9046168065852
District of Columbia,2020-05-24,432,5,2.3304458442099087,448.2350626507951
District of Columbia,2020-05-25,440,8,7.055391643730664,455.2904542945258
District of Columbia,2020-05-26,440,0,16.34049081024138,471.63094510476714
District of Columbia,2020-05-27,445,5,14.18078096231461,485.81172606708174
District of Columbia,2020-05-28,453,8,13.269492856698454,499.08121892378017
District of Columbia,2020-05-29,460,7,11.376439276836964,510.4576582006171
District of Columbia,2020-05-30,462,2,8.296501298825454,518.7541594994426
District of Columbia,2020-05-31,466,4,2.8501266169257127,521.6042861163684
District of Columbia,2020-06-01,468,2,8.15531515328167,529.75960126965
Florida,2020-05-19,2052,55,31.985178142006593,2028.9851781420066
Florida,2020-05-20,2096,44,42.00155508927831,2070.9867332312847
Florida,2020-05-21,2144,48,40.31339684130682,2111.3001300725914
Florida,2020-05-22,2190,46,40.042992571895006,2151.3431226444864
Florida,2020-05-23,2233,43,43.884300800395856,2195.2274234448823
Florida,2020-05-24,2237,4,35.6654859150749,2230.8929093599572
Florida,2020-05-25,2252,15,26.18495467524938,2257.0778640352064
Florida,2020-05-26,2259,7,41.804913100194476,2298.882777135401
Florida,2020-05-27,2319,60,43.98527937344846,2342.8680565088493
Florida,2020-05-28,2364,45,47.89088528100427,2390.7589417898535
Florida,2020-05-29,2413,49,44.64112061078986,2435.4000624006435
Florida,2020-05-30,2447,34,44.02414643580596,2479.4242088364495
Florida,2020-05-31,2451,4,29.01863766600033,2508.44284650245
Florida,2020-06-01,2460,9,29.401625814069103,2537.844472316519
Georgia,2020-05-19,1675,26,39.63473485911849,1688.6347348591185
Georgia,2020-05-20,1697,22,35.45137838879915,1724.0861132479176
Georgia,2020-05-21,1775,78,25.15280823712923,1749.2389214850468
Georgia,2020-05-22,1808,33,38.931232709466535,1788.1701541945133
Georgia,2020-05-23,1822,14,40.88384630347167,1829.054000497985
Georgia,2020-05-24,1827,5,20.960443816381463,1850.0144443143665
Georgia,2020-05-25,1848,21,31.13672280535179,1881.1511671197184
Georgia,2020-05-26,1896,48,48.94622356857681,1930.0973906882953
Georgia,2020-05-27,1933,37,44.785091369305235,1974.8824820576006
Georgia,2020-05-28,1973,40,44.486016106371785,2019.3684981639724
Georgia,2020-05-29,1987,14,49.034153381373486,2068.402651545346
Georgia,2020-05-30,2004,17,31.288870412864817,2099.691521958211
Georgia,2020-05-31,2053,49,23.08925407593024,2122.780776034141
Georgia,2020-06-01,2094,41,38.4813855571408,2161.2621615912817
Hawaii,2020-05-19,17,0,8.155863117018988,25.15586311701899
Hawaii,2020-05-20,17,0,6.99937527620063,32.15523839321962
Hawaii,2020-05-21,17,0,5.060929054577359,37.21616744779698
Hawaii,2020-05-22,17,0,3.4264594266405597,40.64262687443754
Hawaii,2020-05-23,17,0,2.004344693852768,42.646971568290304
Hawaii,2020-05-24,17,0,-3.5170816492905903,39.129889918999716
Hawaii,2020-05-25,17,0,2.5745153252756325,41.70440524427535
Hawaii,2020-05-26,17,0,11.392288623164536,53.09669386743988
Hawaii,2020-05-27,17,0,11.161073571925067,64.25776743936495
Hawaii,2020-05-28,17,0,9.514405723983867,73.77217316334882
Hawaii,2020-05-29,17,0,7.460123814585954,81.23229697793478
Hawaii,2020-05-30,17,0,5.071300549908941,86.30359752784372
Hawaii,2020-05-31,17,0,0.4746913782600879,86.77828890610381
Hawaii,2020-06-01,17,0,5.577427522406083,92.3557164285099
Idaho,2020-05-19,74,0,7.163304312553306,81.16330431255331
Idaho,2020-05-20,77,3,6.002898067909578,87.16620238046289
Idaho,2020-05-21,77,0,4.4171027178027575,91.58330509826565
Idaho,2020-05-22,79,2,3.3459625248732676,94.92926762313893
Idaho,2020-05-23,79,0,1.6687451381124552,96.59801276125138
Idaho,2020-05-24,79,0,-4.449076515566176,92.1489362456852
Idaho,2020-05-25,79,0,1.8837172579127417,94.03265350359794
Idaho,2020-05-26,79,0,10.453951741358344,104.48660524495628
Idaho,2020-05-27,81,2,9.609145730203842,114.09575097516012
Idaho,2020-05-28,82,1,9.114877549395324,123.21062852455543
Idaho,2020-05-29,82,0,6.847786070370794,130.05841459492623
Idaho,2020-05-30,82,0,3.9715830091863413,134.02999760411257
